query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HP0001	HELPY_RS07755	N utilization substance protein B	NC_012973	complement(105..521)	2.3e-99	277.33	99.3	99.3	100.0	100.0	1.0
HP0002	HELPY_RS07760	6,7-dimethyl-8-ribityllumazine synthase	NC_012973	complement(523..993)	3.2e-111	308.531	96.2	98.7	100.0	100.0	1.0
HP0003	HELPY_RS00025	3-deoxy-8-phosphooctulonate synthase	NC_012973	complement(1003..1833)	0	563.148	97.8	98.9	100.0	100.0	1.0
HP0004	HELPY_RS00030	carbonic anhydrase	NC_012973	complement(1820..2485)	6.3e-150	411.764	94.1	97.3	100.0	100.0	1.0
HP0005	HELPY_RS00035	orotidine 5'-phosphate decarboxylase	NC_012973	2605..3288	2.9e-164	448.743	97.8	99.6	100.0	100.0	1.0
HP0006	HELPY_RS00040	pantoate--beta-alanine ligase	NC_012973	3289..4119	0	518.85	91.7	94.9	100.0	100.0	1.0
HP0009	HELPY_RS00070	membrane protein	NC_012973	complement(5118..7130)	0	1107.82	90.9	93.9	100.0	94.6	1.0
HP0010	HELPY_RS00075	molecular chaperone GroEL	NC_012973	complement(7478..9118)	0	1084.32	99.8	99.8	100.0	100.0	1.0
HP0011	HELPY_RS00080	co-chaperone GroES	NC_012973	complement(9144..9500)	3.2e-84	237.269	100.0	100.0	100.0	100.0	1.0
HP0012	HELPY_RS00085	DNA primase	NC_012973	9787..11466	0	1095.88	96.4	98.2	100.0	100.0	1.0
HP0013	HELPY_RS00090	ATP-binding protein	NC_012973	11463..12515	0	695.656	97.4	99.1	100.0	100.0	1.0
HP0014	HELPY_RS00095	hypothetical protein	NC_012973	12605..13432	0	555.058	96.4	98.2	100.0	100.0	1.0
HP0015	HELPY_RS00100	hypothetical protein	NC_012973	13578..13859	1.3e-62	181.03	98.9	98.9	100.0	100.0	1.0
HP0016	HELPY_RS00105	hypothetical protein	NC_012973	13859..14122	3.6e-58	169.088	100.0	100.0	100.0	100.0	1.0
HP0017	HELPY_RS00110	transporter	NC_012973	14124..16487	0	1553.5	97.5	98.9	100.0	100.0	1.0
HP0018	HELPY_RS00115	hypothetical protein	NC_012973	16781..18121	0	903.279	97.8	99.6	95.1	100.0	1.0
HP0019	HELPY_RS00120	chemotaxis protein CheV	NC_012973	18229..19194	0	652.514	99.1	99.7	100.0	100.0	1.0
HP0020	HELPY_RS00125	carboxynorspermidine decarboxylase	NC_012973	19191..20408	0	830.476	97.8	99.5	100.0	100.0	1.0
HP0021	HELPY_RS00130	lipid A 1-phosphatase	NC_012973	complement(20418..20990)	2.7e-136	374.785	95.8	98.4	100.0	100.0	1.0
HP0022	HELPY_RS00135	lipid A phosphoethanolamine transferase	NC_012973	complement(21001..22566)	0	1015.37	95.8	97.9	100.0	100.0	1.0
HP0024	HELPY_RS00145	hypothetical protein	NC_012973	22753..22845	3.4e-15	56.6102	96.7	96.7	100.0	100.0	1.0
HP0025	HELPY_RS00150	membrane protein	NC_012973	complement(23206..25338)	0	1402.88	96.3	97.9	100.0	100.0	1.0
HP0026	HELPY_RS00155	citrate (Si)-synthase	NC_012973	complement(25869..27149)	0	877.856	98.1	99.8	100.0	100.0	1.0
HP0027	HELPY_RS00160	isocitrate dehydrogenase (NADP(+))	NC_012973	27350..28627	0	870.922	99.5	99.8	100.0	100.0	1.0
HP0028	HELPY_RS00165	hypothetical protein	NC_012973	28694..29221	1.9e-124	343.584	94.3	96.0	98.9	100.0	1.0
HP0029	HELPY_RS00170	dethiobiotin synthase	NC_012973	complement(29198..29851)	5.7e-150	411.764	94.0	95.0	100.0	100.0	1.0
HP0030	HELPY_RS00175	hypothetical protein	NC_012973	complement(29855..31567)	0	691.804	60.3	74.0	100.0	100.0	1.0
HP0031	HELPY_RS00180	universal stress protein	NC_012973	31676..32089	4.6e-99	276.559	100.0	100.0	100.0	100.0	1.0
HP0032	HELPY_RS00185	ATP-dependent Clp protease adaptor ClpS	NC_012973	32104..32379	2.3e-64	185.267	96.7	98.9	100.0	100.0	1.0
HP0033	HELPY_RS00190	ATPase AAA	NC_012973	32379..34604	0	1472.22	98.4	99.3	100.0	100.0	1.0
HP0034	HELPY_RS00195	aspartate 1-decarboxylase	NC_012973	34594..34947	1.9e-81	230.335	98.3	99.1	100.0	100.0	1.0
HP0035	HELPY_RS00200	nucleoid-associated protein	NC_012973	34950..35252	9.5e-65	186.808	97.0	97.0	100.0	100.0	1.0
HP0036	HELPY_RS00205	PDZ domain-containing protein	NC_012973	35252..36256	0	640.958	93.7	97.0	100.0	100.0	1.0
HP0037	HELPY_RS00210	conjugal transfer protein TrbL	NC_012973	36264..37319	0	642.884	95.4	96.3	100.0	100.0	1.0
HP0038	HELPY_RS00220	hypothetical protein	NC_012973	37445..38188	3.5e-178	485.337	97.2	98.8	100.0	100.0	1.0
HP0043	HELPY_RS00235	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	NC_012973	40371..41783	0	926.391	96.2	98.5	100.0	100.0	1.0
