query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HP0001	HPG27_RS00005	N utilization substance protein B	NC_011333	complement(1..417)	4.8e-99	276.559	98.6	99.3	100.0	100.0	1.0
HP0002	HPG27_RS00010	6,7-dimethyl-8-ribityllumazine synthase	NC_011333	complement(419..889)	2.5e-112	311.612	97.4	98.1	100.0	100.0	1.0
HP0003	HPG27_RS00015	3-deoxy-8-phosphooctulonate synthase	NC_011333	complement(899..1729)	0	558.91	97.5	98.6	100.0	100.0	1.0
HP0004	HPG27_RS00020	carbonic anhydrase	NC_011333	complement(1716..2381)	1.7e-148	408.297	93.7	95.9	100.0	100.0	1.0
HP0005	HPG27_RS00025	orotidine 5'-phosphate decarboxylase	NC_011333	2503..3186	5.3e-162	442.965	96.9	98.7	100.0	100.0	1.0
HP0006	HPG27_RS00030	pantoate--beta-alanine ligase	NC_011333	3187..4017	0	516.924	89.9	94.6	100.0	100.0	1.0
HP0009	HPG27_RS00060	membrane protein	NC_011333	complement(5040..7040)	0	1112.83	90.9	94.2	100.0	94.6	1.0
HP0010	HPG27_RS00070	molecular chaperone GroEL	NC_011333	complement(7374..9014)	0	1083.94	99.6	99.8	100.0	100.0	1.0
HP0011	HPG27_RS00075	co-chaperone GroES	NC_011333	complement(9042..9398)	2.2e-83	235.343	99.2	99.2	100.0	100.0	1.0
HP0012	HPG27_RS00080	DNA primase	NC_011333	9684..11363	0	1088.17	96.2	97.7	100.0	100.0	1.0
HP0013	HPG27_RS00085	ATP-binding protein	NC_011333	11360..12412	0	695.271	97.1	99.1	100.0	100.0	1.0
HP0014	HPG27_RS00090	hypothetical protein	NC_011333	12502..13329	0	556.214	97.1	97.8	100.0	100.0	1.0
HP0015	HPG27_RS00095	hypothetical protein	NC_011333	13476..13757	4.1e-63	182.185	98.9	100.0	100.0	100.0	1.0
HP0016	HPG27_RS00100	hypothetical protein	NC_011333	13757..14020	3.7e-58	169.088	100.0	100.0	100.0	100.0	1.0
HP0017	HPG27_RS00105	transporter	NC_011333	14022..16385	0	1566.21	98.0	99.2	100.0	100.0	1.0
HP0018	HPG27_RS00110	hypothetical protein	NC_011333	16687..18027	0	894.804	96.6	99.1	95.1	100.0	1.0
HP0019	HPG27_RS00115	chemotaxis protein CheV	NC_011333	18135..19100	0	656.751	99.7	100.0	100.0	100.0	1.0
HP0020	HPG27_RS00120	carboxynorspermidine decarboxylase	NC_011333	19097..20314	0	828.165	97.5	99.3	100.0	100.0	1.0
HP0021	HPG27_RS00125	lipid A 1-phosphatase	NC_011333	complement(20347..20922)	2.1e-136	375.17	96.8	98.9	99.5	99.0	1.0
HP0022	HPG27_RS00130	lipid A phosphoethanolamine transferase	NC_011333	complement(20932..22497)	0	1026.93	96.7	98.5	100.0	100.0	1.0
HP0024	HPG27_RS00135	hypothetical protein	NC_011333	22680..22772	3.5e-15	56.6102	96.7	96.7	100.0	100.0	1.0
HP0025	HPG27_RS00140	membrane protein	NC_011333	complement(23157..25289)	0	1358.2	95.6	97.5	100.0	100.0	1.0
HP0026	HPG27_RS00145	type II citrate synthase	NC_011333	complement(25944..27224)	0	884.789	99.5	100.0	100.0	100.0	1.0
HP0027	HPG27_RS00150	isocitrate dehydrogenase (NADP(+))	NC_011333	27425..28702	0	867.455	99.1	99.5	100.0	100.0	1.0
HP0028	HPG27_RS00155	hypothetical protein	NC_011333	28770..29297	1.9e-125	346.28	94.3	97.1	98.9	100.0	1.0
HP0029	HPG27_RS00160	dethiobiotin synthase	NC_011333	complement(29274..29930)	1.2e-148	408.297	92.2	95.0	100.0	100.0	1.0
HP0030	HPG27_RS00165	hypothetical protein	NC_011333	complement(29934..31625)	0	657.907	58.9	72.7	100.0	100.0	1.0
HP0031	HPG27_RS00170	universal stress protein	NC_011333	31734..32147	4.7e-99	276.559	100.0	100.0	100.0	100.0	1.0
HP0032	HPG27_RS00175	ATP-dependent Clp protease adaptor ClpS	NC_011333	32178..32453	3.5e-65	187.193	97.8	98.9	100.0	100.0	1.0
HP0033	HPG27_RS00180	ATPase AAA	NC_011333	32453..34678	0	1479.92	99.1	99.3	100.0	100.0	1.0
HP0034	HPG27_RS00185	aspartate 1-decarboxylase	NC_011333	34668..35021	2.9e-81	229.95	97.4	99.1	100.0	100.0	1.0
HP0035	HPG27_RS00190	nucleoid-associated protein	NC_011333	35024..35326	9.7e-65	186.808	97.0	97.0	100.0	100.0	1.0
HP0036	HPG27_RS00195	PDZ domain-containing protein	NC_011333	35326..36321	0	626.32	92.2	95.2	100.0	100.0	1.0
HP0037	HPG27_RS00200	conjugal transfer protein TrbL	NC_011333	36329..37384	0	637.106	96.6	97.4	100.0	100.0	1.0
HP0038	HPG27_RS00210	hypothetical protein	NC_011333	37510..38253	1.1e-178	486.493	97.2	98.4	100.0	100.0	1.0
HP0043	HPG27_RS00225	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	NC_011333	40437..41855	0	922.539	95.5	98.9	99.6	99.2	1.0
HP0044	HPG27_RS00230	GDP-mannose 4,6-dehydratase	NC_011333	41865..43010	0	774.622	97.9	98.7	100.0	100.0	1.0
HP0045	HPG27_RS00235	GDP-fucose synthetase	NC_011333	43003..43935	0	613.224	97.1	98.1	100.0	100.0	1.0
HP0047	HPG27_RS00255	hydrogenase expression/formation protein HypE	NC_011333	complement(46226..47224)	0	648.662	97.0	98.5	100.0	100.0	1.0
HP0048	HPG27_RS00260	carbamoyltransferase HypF	NC_011333	complement(47227..49479)	0	1436.4	93.7	96.4	97.5	100.0	1.0
HP0049	HPG27_RS00265	agmatine deiminase	NC_011333	complement(49476..50468)	0	652.899	94.5	96.7	100.0	100.0	1.0
HP0050	HPG27_RS00270	DNA methyltransferase	NC_011333	complement(50520..51218)	4.3e-172	468.774	96.6	98.3	100.0	100.0	1.0
HP0051	HPG27_RS00275	DNA cytosine methyltransferase	NC_011333	complement(51215..52282)	0	713.375	97.5	98.3	100.0	100.0	1.0
HP0053	-	-	-	-	-	0	0	0	0	0	0
HP0054	HPG27_RS00275	DNA cytosine methyltransferase	NC_011333	complement(51215..52282)	4.1e-16	76.2554	25.6	43.3	44.7	94.6	0.0
HP0055	HPG27_RS00295	sodium/proline symporter	NC_011333	complement(57419..58909)	0	970.304	98.6	99.4	100.0	100.0	1.0
HP0056	HPG27_RS00300	1-pyrroline-5-carboxylate dehydrogenase	NC_011333	complement(58936..62493)	0	2400.55	97.7	99.0	100.0	100.0	1.0
HP0057	HPG27_RS00305	hypothetical protein	NC_011333	62823..63032	1.6e-45	135.961	91.3	94.2	100.0	100.0	1.0
HP0059	HPG27_RS00315	hypothetical protein	NC_011333	64308..65042	4.2e-113	322.398	69.4	74.5	97.2	99.6	1.0
HP0060	-	-	-	-	-	0	0	0	0	0	0
HP0061	HPG27_RS00325	hypothetical protein	NC_011333	67486..68049	3.9e-122	338.961	87.8	92.1	100.0	100.0	1.0
HP0062	HPG27_RS00330	hypothetical protein	NC_011333	68065..68325	6.7e-48	143.28	82.6	90.7	100.0	100.0	1.0
HP0063	-	-	-	-	-	0	0	0	0	0	0
HP0064	HPG27_RS00340	hypothetical protein	NC_011333	69706..70131	1.8e-87	247.284	86.5	91.5	100.0	100.0	1.0
HP0065	HPG27_RS00345	hypothetical protein	NC_011333	70133..70486	7.6e-75	213.772	89.7	94.9	100.0	100.0	1.0
HP0066	HPG27_RS01810	cell division protein FtsK	NC_011333	complement(369142..371721)	2.5e-18	85.5001	28.4	48.4	29.1	27.9	0.0
HP0067	HPG27_RS00355	urease accessory protein UreH	NC_011333	complement(72959..73756)	0	536.184	96.2	97.7	100.0	100.0	1.0
HP0068	HPG27_RS00360	urease accessory protein UreG	NC_011333	complement(73756..74355)	1.5e-148	406.757	100.0	100.0	100.0	100.0	1.0
HP0069	-	-	-	-	-	0	0	0	0	0	0
HP0070	HPG27_RS00370	urease accessory protein UreE	NC_011333	complement(75171..75683)	2.8e-124	342.813	98.8	100.0	100.0	100.0	1.0
HP0071	HPG27_RS00375	acid-activated urea channel	NC_011333	complement(75685..76272)	1.9e-139	383.259	97.9	100.0	100.0	100.0	1.0
HP0072	HPG27_RS00380	urease subunit beta	NC_011333	complement(76464..78173)	0	1174.46	99.8	99.8	100.0	100.0	1.0
HP0073	HPG27_RS00385	urease subunit beta	NC_011333	complement(78184..78903)	3.0e-177	482.641	100.0	100.0	100.0	99.6	1.0
HP0074	HPG27_RS00395	signal peptidase II	NC_011333	complement(79249..79722)	1.2e-92	261.922	94.3	98.7	100.0	100.0	1.0
HP0075	HPG27_RS00400	phosphoglucosamine mutase	NC_011333	complement(79716..81053)	0	896.73	98.0	99.6	100.0	100.0	1.0
HP0076	HPG27_RS00405	30S ribosomal protein S20	NC_011333	81143..81412	8.3e-58	168.318	97.8	100.0	100.0	100.0	1.0
HP0077	HPG27_RS00410	peptide chain release factor 1	NC_011333	81536..82594	0	703.745	98.9	99.7	100.0	100.0	1.0
HP0078	-	-	-	-	-	0	0	0	0	0	0
HP0079	HPG27_RS00420	hypothetical protein	NC_011333	83152..83775	1.4e-145	415.231	97.0	97.5	33.8	97.6	1.0
HP0080	HPG27_RS00425	hypothetical protein	NC_011333	84023..85756	0	846.655	91.8	93.8	94.9	95.3	1.0
HP0081	-	-	-	-	-	0	0	0	0	0	0
HP0082	HPG27_RS00520	chemotaxis protein	NC_011333	103546..105573	3.0e-167	491.115	40.6	62.6	99.9	99.7	0.0
HP0083	HPG27_RS00435	30S ribosomal protein S9	NC_011333	complement(88206..88595)	6.4e-94	262.692	100.0	100.0	100.0	100.0	1.0
HP0084	HPG27_RS00440	50S ribosomal protein L13	NC_011333	complement(88592..89017)	1.4e-103	288.115	99.3	99.3	100.0	100.0	1.0
HP0085	HPG27_RS00445	hypothetical protein	NC_011333	complement(89331..89519)	9.2e-35	108.227	90.3	96.8	100.0	100.0	1.0
HP0086	HPG27_RS00450	malate:quinone oxidoreductase	NC_011333	complement(89526..90878)	0	925.62	99.8	100.0	100.0	100.0	1.0
HP0087	HPG27_RS00455	hypothetical protein	NC_011333	complement(90932..92305)	0	919.842	96.9	97.6	100.0	100.0	1.0
HP0088	HPG27_RS00460	RNA polymerase sigma factor RpoD	NC_011333	complement(92325..94373)	0	1302.35	96.6	97.4	100.0	100.0	1.0
HP0089	HPG27_RS00465	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	NC_011333	complement(94567..95262)	2.6e-164	449.129	97.0	98.3	100.0	100.0	1.0
HP0090	HPG27_RS00470	malonyl CoA-acyl carrier protein transacylase	NC_011333	complement(95273..96202)	0	630.558	99.0	99.4	100.0	100.0	1.0
HP0091	-	-	-	-	-	0	0	0	0	0	0
HP0092	HPG27_RS00485	DNA methylase N-4	NC_011333	97456..98289	0	551.592	96.8	98.2	100.0	100.0	1.0
HP0095	HPG27_RS00500	hypothetical protein	NC_011333	complement(99308..99838)	3.5e-123	340.502	96.6	98.3	100.0	100.0	1.0
HP0096	HPG27_RS00505	2-hydroxyacid dehydrogenase	NC_011333	99911..100855	0	606.29	95.2	97.5	100.0	100.0	1.0
HP0097	HPG27_RS00510	hypothetical protein	NC_011333	complement(101070..101783)	7.6e-174	473.781	98.3	99.6	99.6	99.6	1.0
HP0098	HPG27_RS00515	threonine synthase	NC_011333	complement(101890..103344)	0	954.125	96.3	97.5	100.0	100.0	1.0
HP0099	HPG27_RS00520	chemotaxis protein	NC_011333	103546..105573	0	1306.97	96.9	97.8	100.0	100.0	1.0
HP0100	HPG27_RS00525	hypothetical protein	NC_011333	105573..106679	0	719.924	95.7	97.6	100.0	100.0	1.0
HP0101	HPG27_RS00530	membrane protein	NC_011333	106895..107656	0	501.901	97.6	98.8	100.0	100.0	1.0
HP0102	HPG27_RS00535	glycosyl transferase	NC_011333	complement(107639..108421)	0	501.13	94.6	97.7	100.0	100.0	1.0
HP0103	HPG27_RS00540	chemotaxis protein	NC_011333	complement(108452..110149)	0	1113.21	97.2	97.9	100.0	100.0	1.0
HP0104	HPG27_RS00545	2',3'-cyclic-nucleotide 2'-phosphodiesterase	NC_011333	complement(110357..112102)	0	1092.41	95.9	98.3	100.0	100.0	1.0
HP0105	HPG27_RS00550	S-ribosylhomocysteine lyase	NC_011333	complement(112243..112710)	7.4e-113	312.383	97.3	100.0	100.0	96.8	1.0
HP0106	HPG27_RS00555	cystathionine beta-lyase	NC_011333	complement(112740..113882)	0	765.763	97.9	98.4	100.0	100.0	1.0
HP0107	HPG27_RS00560	cysteine synthase	NC_011333	complement(113903..114820)	0	585.489	95.4	97.4	99.7	100.0	1.0
HP0108	-	-	-	-	-	0	0	0	0	0	0
HP0109	HPG27_RS00570	molecular chaperone DnaK	NC_011333	complement(115576..117438)	0	1235.32	99.2	100.0	100.0	100.0	1.0
HP0110	HPG27_RS00575	nucleotide exchange factor GrpE	NC_011333	complement(117469..118044)	3.7e-128	354.369	94.8	96.9	100.0	100.0	1.0
HP0111	HPG27_RS00580	HrcA family transcriptional regulator	NC_011333	complement(118044..118874)	0	541.191	96.7	98.6	100.0	100.0	1.0
HP0112	HPG27_RS00585	hypothetical protein	NC_011333	119255..119893	9.1e-159	434.491	98.6	98.6	91.8	100.0	1.0
HP0113	HPG27_RS00590	hypothetical protein	NC_011333	119914..120210	2.4e-64	185.652	93.9	93.9	100.0	100.0	1.0
HP0114	HPG27_RS00595	hypothetical protein	NC_011333	complement(120220..122103)	0	1248.42	97.3	98.7	99.8	100.0	1.0
HP0115	HPG27_RS00600	flagellin B	NC_011333	complement(122164..123708)	0	1015.76	99.8	99.8	100.0	100.0	1.0
HP0116	HPG27_RS00605	DNA topoisomerase I	NC_011333	123873..126083	0	1476.46	98.4	99.0	100.0	100.0	1.0
HP0117	HPG27_RS00610	radical SAM protein	NC_011333	126076..127002	0	603.979	97.4	98.7	100.0	100.0	1.0
HP0118	HPG27_RS00615	hypothetical protein	NC_011333	complement(127142..128326)	0	578.941	75.6	82.6	95.7	100.0	0.0
HP0119	HPG27_RS05910	hypothetical protein	NC_011333	complement(1243113..1244351)	0	657.522	80.9	83.0	100.0	100.0	1.0
HP0120	HPG27_RS00615	hypothetical protein	NC_011333	complement(127142..128326)	0	686.411	87.6	90.1	95.7	100.0	1.0
HP0121	HPG27_RS00620	phosphoenolpyruvate synthase	NC_011333	complement(128482..130920)	0	1670.6	99.5	99.9	99.8	99.8	1.0
HP0122	HPG27_RS00625	hypothetical protein	NC_011333	131140..131238	2.1e-19	67.781	100.0	100.0	74.4	100.0	1.0
HP0123	HPG27_RS00630	threonine--tRNA ligase	NC_011333	131279..133117	0	1235.71	98.4	99.2	100.0	100.0	1.0
HP0124	HPG27_RS00635	translation initiation factor IF-3	NC_011333	133114..133725	9.3e-148	404.831	97.5	98.5	100.0	100.0	1.0
HP0125	HPG27_RS00640	50S ribosomal protein L35	NC_011333	133706..133900	5.0e-42	126.716	100.0	100.0	100.0	100.0	1.0
HP0126	HPG27_RS00645	50S ribosomal protein L20	NC_011333	133995..134345	7.3e-83	233.802	99.1	100.0	100.0	100.0	1.0
HP0127	HPG27_RS00650	membrane protein	NC_011333	134546..135406	0	584.719	99.0	99.7	100.0	100.0	1.0
HP0128	HPG27_RS00655	hypothetical protein	NC_011333	135458..135583	8.4e-19	66.2402	78.0	87.8	100.0	100.0	1.0
HP0129	HPG27_RS00660	hypothetical protein	NC_011333	135754..136185	1.3e-92	260.766	93.7	95.8	100.0	100.0	1.0
HP0130	HPG27_RS00665	hypothetical protein	NC_011333	136595..137455	0	524.242	95.5	97.9	100.0	100.0	1.0
HP0131	-	-	-	-	-	0	0	0	0	0	0
