query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPG27_RS00005	HPG27_RS00005	N utilization substance protein B	NC_011333	complement(1..417)	3.6e-100	279.256	100.0	100.0	100.0	100.0	1.0
HPG27_RS00010	HPG27_RS00010	6,7-dimethyl-8-ribityllumazine synthase	NC_011333	complement(419..889)	4.0e-115	318.546	100.0	100.0	100.0	100.0	1.0
HPG27_RS00015	HPG27_RS00015	3-deoxy-8-phosphooctulonate synthase	NC_011333	complement(899..1729)	0	572.392	100.0	100.0	100.0	100.0	1.0
HPG27_RS00020	HPG27_RS00020	carbonic anhydrase	NC_011333	complement(1716..2381)	9.7e-169	459.529	100.0	100.0	100.0	100.0	1.0
HPG27_RS00025	HPG27_RS00025	orotidine 5'-phosphate decarboxylase	NC_011333	2503..3186	5.5e-168	457.988	100.0	100.0	100.0	100.0	1.0
HPG27_RS00030	HPG27_RS00030	pantoate--beta-alanine ligase	NC_011333	3187..4017	0	565.844	100.0	100.0	100.0	100.0	1.0
HPG27_RS00060	HPG27_RS00060	membrane protein	NC_011333	complement(5040..7040)	0	1354.35	100.0	100.0	100.0	100.0	1.0
HPG27_RS00070	HPG27_RS00070	molecular chaperone GroEL	NC_011333	complement(7374..9014)	0	1087.4	100.0	100.0	100.0	100.0	1.0
HPG27_RS00075	HPG27_RS00075	co-chaperone GroES	NC_011333	complement(9042..9398)	7.8e-84	236.498	100.0	100.0	100.0	100.0	1.0
HPG27_RS00080	HPG27_RS00080	DNA primase	NC_011333	9684..11363	0	1127.08	100.0	100.0	100.0	100.0	1.0
HPG27_RS00085	HPG27_RS00085	ATP-binding protein	NC_011333	11360..12412	0	711.449	100.0	100.0	100.0	100.0	1.0
HPG27_RS00090	HPG27_RS00090	hypothetical protein	NC_011333	12502..13329	0	573.548	100.0	100.0	100.0	100.0	1.0
HPG27_RS00095	HPG27_RS00095	hypothetical protein	NC_011333	13476..13757	2.8e-63	182.57	100.0	100.0	100.0	100.0	1.0
HPG27_RS00100	HPG27_RS00100	hypothetical protein	NC_011333	13757..14020	3.7e-58	169.088	100.0	100.0	100.0	100.0	1.0
HPG27_RS00105	HPG27_RS00105	transporter	NC_011333	14022..16385	0	1590.47	100.0	100.0	100.0	100.0	1.0
HPG27_RS00110	HPG27_RS00110	hypothetical protein	NC_011333	16687..18027	0	916.376	100.0	100.0	100.0	100.0	1.0
HPG27_RS00115	HPG27_RS00115	chemotaxis protein CheV	NC_011333	18135..19100	0	657.907	100.0	100.0	100.0	100.0	1.0
HPG27_RS00120	HPG27_RS00120	carboxynorspermidine decarboxylase	NC_011333	19097..20314	0	843.573	100.0	100.0	100.0	100.0	1.0
HPG27_RS00125	HPG27_RS00125	lipid A 1-phosphatase	NC_011333	complement(20347..20922)	1.3e-141	388.267	100.0	100.0	100.0	100.0	1.0
HPG27_RS00130	HPG27_RS00130	lipid A phosphoethanolamine transferase	NC_011333	complement(20932..22497)	0	1053.51	100.0	100.0	100.0	100.0	1.0
HPG27_RS00135	HPG27_RS00135	hypothetical protein	NC_011333	22680..22772	3.2e-16	59.3066	100.0	100.0	100.0	100.0	1.0
HPG27_RS00140	HPG27_RS00140	membrane protein	NC_011333	complement(23157..25289)	0	1458.74	100.0	100.0	100.0	100.0	1.0
HPG27_RS00145	HPG27_RS00145	type II citrate synthase	NC_011333	complement(25944..27224)	0	887.1	100.0	100.0	100.0	100.0	1.0
HPG27_RS00150	HPG27_RS00150	isocitrate dehydrogenase (NADP(+))	NC_011333	27425..28702	0	875.159	100.0	100.0	100.0	100.0	1.0
HPG27_RS00155	HPG27_RS00155	hypothetical protein	NC_011333	28770..29297	6.2e-131	360.147	100.0	100.0	100.0	100.0	1.0
HPG27_RS00160	HPG27_RS00160	dethiobiotin synthase	NC_011333	complement(29274..29930)	5.6e-163	444.506	100.0	100.0	100.0	100.0	1.0
HPG27_RS00165	HPG27_RS00165	hypothetical protein	NC_011333	complement(29934..31625)	0	1156.35	100.0	100.0	100.0	100.0	1.0
HPG27_RS00170	HPG27_RS00170	universal stress protein	NC_011333	31734..32147	4.7e-99	276.559	100.0	100.0	100.0	100.0	1.0
HPG27_RS00175	HPG27_RS00175	ATP-dependent Clp protease adaptor ClpS	NC_011333	32178..32453	3.4e-66	189.889	100.0	100.0	100.0	100.0	1.0
HPG27_RS00180	HPG27_RS00180	ATPase AAA	NC_011333	32453..34678	0	1493.79	100.0	100.0	100.0	100.0	1.0
HPG27_RS00185	HPG27_RS00185	aspartate 1-decarboxylase	NC_011333	34668..35021	4.3e-83	234.572	100.0	100.0	100.0	100.0	1.0
HPG27_RS00190	HPG27_RS00190	nucleoid-associated protein	NC_011333	35024..35326	8.9e-69	196.823	100.0	100.0	100.0	100.0	1.0
HPG27_RS00195	HPG27_RS00195	PDZ domain-containing protein	NC_011333	35326..36321	0	671.774	100.0	100.0	100.0	100.0	1.0
HPG27_RS00200	HPG27_RS00200	conjugal transfer protein TrbL	NC_011333	36329..37384	0	703.745	100.0	100.0	100.0	100.0	1.0
HPG27_RS00205	HPG27_RS00205	hypothetical protein	NC_011333	37400..37513	5.6e-24	79.337	100.0	100.0	100.0	100.0	1.0
HPG27_RS00210	HPG27_RS00210	hypothetical protein	NC_011333	37510..38253	0	503.442	100.0	100.0	100.0	100.0	1.0
HPG27_RS00215	HPG27_RS00215	conjugal transfer protein	NC_011333	38253..39236	0	669.848	100.0	100.0	100.0	100.0	1.0
HPG27_RS00220	HPG27_RS00220	membrane protein	NC_011333	39229..40365	0	768.844	100.0	100.0	100.0	100.0	1.0
HPG27_RS00225	HPG27_RS00225	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	NC_011333	40437..41855	0	963.755	100.0	100.0	100.0	100.0	1.0
HPG27_RS00230	HPG27_RS00230	GDP-mannose 4,6-dehydratase	NC_011333	41865..43010	0	789.26	100.0	100.0	100.0	100.0	1.0
HPG27_RS00235	HPG27_RS00235	GDP-fucose synthetase	NC_011333	43003..43935	0	630.943	100.0	100.0	100.0	100.0	1.0
HPG27_RS00240	HPG27_RS04735	transposase	NC_011333	complement(990199..991482)	0	885.56	100.0	100.0	100.0	100.0	0.0
HPG27_RS00245	HPG27_RS04740	transposase	NC_011333	991552..991923	2.1e-91	256.144	100.0	100.0	100.0	100.0	0.0
HPG27_RS00255	HPG27_RS00255	hydrogenase expression/formation protein HypE	NC_011333	complement(46226..47224)	0	670.233	100.0	100.0	100.0	100.0	1.0
HPG27_RS00260	HPG27_RS00260	carbamoyltransferase HypF	NC_011333	complement(47227..49479)	0	1532.31	100.0	100.0	100.0	100.0	1.0
HPG27_RS00265	HPG27_RS00265	agmatine deiminase	NC_011333	complement(49476..50468)	0	686.026	100.0	100.0	100.0	100.0	1.0
HPG27_RS00270	HPG27_RS00270	DNA methyltransferase	NC_011333	complement(50520..51218)	6.3e-177	481.1	100.0	100.0	100.0	100.0	1.0
HPG27_RS00275	HPG27_RS00275	DNA cytosine methyltransferase	NC_011333	complement(51215..52282)	0	731.48	100.0	100.0	100.0	100.0	1.0
HPG27_RS00295	HPG27_RS00295	sodium/proline symporter	NC_011333	complement(57419..58909)	0	981.089	100.0	100.0	100.0	100.0	1.0
HPG27_RS00300	HPG27_RS00300	1-pyrroline-5-carboxylate dehydrogenase	NC_011333	complement(58936..62493)	0	2448.7	100.0	100.0	100.0	100.0	1.0
HPG27_RS00305	HPG27_RS00305	hypothetical protein	NC_011333	62823..63032	1.7e-49	145.976	100.0	100.0	100.0	100.0	1.0
HPG27_RS00310	HPG27_RS00310	hypothetical protein	NC_011333	63605..64306	4.6e-171	466.463	100.0	100.0	100.0	100.0	1.0
HPG27_RS00315	HPG27_RS00315	hypothetical protein	NC_011333	64308..65042	2.6e-172	470.315	100.0	100.0	100.0	100.0	1.0
HPG27_RS00325	HPG27_RS00325	hypothetical protein	NC_011333	67486..68049	4.4e-141	386.726	100.0	100.0	100.0	100.0	1.0
HPG27_RS00330	HPG27_RS00330	hypothetical protein	NC_011333	68065..68325	3.5e-60	174.096	100.0	100.0	100.0	100.0	1.0
HPG27_RS00340	HPG27_RS00340	hypothetical protein	NC_011333	69706..70131	2.2e-103	287.73	100.0	100.0	100.0	100.0	1.0
HPG27_RS00345	HPG27_RS00345	hypothetical protein	NC_011333	70133..70486	4.9e-83	234.187	100.0	100.0	100.0	100.0	1.0
HPG27_RS00355	HPG27_RS00355	urease accessory protein UreH	NC_011333	complement(72959..73756)	0	551.592	100.0	100.0	100.0	100.0	1.0
HPG27_RS00360	HPG27_RS00360	urease accessory protein UreG	NC_011333	complement(73756..74355)	1.5e-148	406.757	100.0	100.0	100.0	100.0	1.0
HPG27_RS00370	HPG27_RS00370	urease accessory protein UreE	NC_011333	complement(75171..75683)	5.4e-126	347.051	100.0	100.0	100.0	100.0	1.0
HPG27_RS00375	HPG27_RS00375	acid-activated urea channel	NC_011333	complement(75685..76272)	2.3e-141	388.267	100.0	100.0	100.0	100.0	1.0
HPG27_RS00380	HPG27_RS00380	urease subunit beta	NC_011333	complement(76464..78173)	0	1176.77	100.0	100.0	100.0	100.0	1.0
HPG27_RS00385	HPG27_RS00385	urease subunit beta	NC_011333	complement(78184..78903)	4.0e-178	484.567	100.0	100.0	100.0	100.0	1.0
HPG27_RS00395	HPG27_RS00395	signal peptidase II	NC_011333	complement(79249..79722)	2.1e-108	301.597	100.0	100.0	100.0	100.0	1.0
HPG27_RS00400	HPG27_RS00400	phosphoglucosamine mutase	NC_011333	complement(79716..81053)	0	909.442	100.0	100.0	100.0	100.0	1.0
HPG27_RS00405	HPG27_RS00405	30S ribosomal protein S20	NC_011333	81143..81412	2.8e-58	169.474	100.0	100.0	100.0	100.0	1.0
HPG27_RS00410	HPG27_RS00410	peptide chain release factor 1	NC_011333	81536..82594	0	710.294	100.0	100.0	100.0	100.0	1.0
HPG27_RS00420	HPG27_RS00420	hypothetical protein	NC_011333	83152..83775	1.1e-153	420.239	100.0	100.0	100.0	100.0	1.0
HPG27_RS00425	HPG27_RS00425	hypothetical protein	NC_011333	84023..85756	0	1161.36	100.0	100.0	100.0	100.0	1.0
HPG27_RS00435	HPG27_RS00435	30S ribosomal protein S9	NC_011333	complement(88206..88595)	6.4e-94	262.692	100.0	100.0	100.0	100.0	1.0
HPG27_RS00440	HPG27_RS00440	50S ribosomal protein L13	NC_011333	complement(88592..89017)	2.8e-104	290.041	100.0	100.0	100.0	100.0	1.0
HPG27_RS00445	HPG27_RS00445	hypothetical protein	NC_011333	complement(89331..89519)	1.1e-38	118.242	100.0	100.0	100.0	100.0	1.0
HPG27_RS00450	HPG27_RS00450	malate:quinone oxidoreductase	NC_011333	complement(89526..90878)	0	926.776	100.0	100.0	100.0	100.0	1.0
HPG27_RS00455	HPG27_RS00455	hypothetical protein	NC_011333	complement(90932..92305)	0	947.192	100.0	100.0	100.0	100.0	1.0
HPG27_RS00460	HPG27_RS00460	RNA polymerase sigma factor RpoD	NC_011333	complement(92325..94373)	0	1358.97	100.0	100.0	100.0	100.0	1.0
HPG27_RS00465	HPG27_RS00465	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	NC_011333	complement(94567..95262)	1.8e-170	464.537	100.0	100.0	100.0	100.0	1.0
HPG27_RS00470	HPG27_RS00470	malonyl CoA-acyl carrier protein transacylase	NC_011333	complement(95273..96202)	0	635.18	100.0	100.0	100.0	100.0	1.0
HPG27_RS00485	HPG27_RS00485	DNA methylase N-4	NC_011333	97456..98289	0	570.081	100.0	100.0	100.0	100.0	1.0
