query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPP12_RS00005	HPP12_RS00005	N utilization substance protein B	NC_011498	complement(13..429)	2.5e-100	279.641	100.0	100.0	100.0	100.0	1.0
HPP12_RS00010	HPP12_RS00010	6,7-dimethyl-8-ribityllumazine synthase	NC_011498	complement(431..901)	1.9e-115	319.316	100.0	100.0	100.0	100.0	1.0
HPP12_RS00015	HPP12_RS00015	2-dehydro-3-deoxyphosphooctonate aldolase	NC_011498	complement(911..1741)	0	572.778	100.0	100.0	100.0	100.0	1.0
HPP12_RS00020	HPP12_RS00020	carbonic anhydrase	NC_011498	complement(1728..2393)	1.1e-168	459.144	100.0	100.0	100.0	100.0	1.0
HPP12_RS00025	HPP12_RS00025	orotidine 5'-phosphate decarboxylase	NC_011498	2515..3198	6.9e-168	457.988	100.0	100.0	100.0	100.0	1.0
HPP12_RS00030	HPP12_RS00030	pantoate--beta-alanine ligase	NC_011498	3199..4029	0	563.533	100.0	100.0	100.0	100.0	1.0
HPP12_RS00060	HPP12_RS00060	membrane protein	NC_011498	complement(5068..7167)	0	1425.22	100.0	100.0	100.0	100.0	1.0
HPP12_RS00065	HPP12_RS00065	molecular chaperone GroEL	NC_011498	complement(7486..9126)	0	1086.25	100.0	100.0	100.0	100.0	1.0
HPP12_RS00070	HPP12_RS00070	co-chaperone GroES	NC_011498	complement(9151..9507)	2.9e-84	237.654	100.0	100.0	100.0	100.0	1.0
HPP12_RS00075	HPP12_RS00075	DNA primase	NC_011498	9795..11474	0	1129.39	100.0	100.0	100.0	100.0	1.0
HPP12_RS00080	HPP12_RS00080	ATP-binding protein	NC_011498	11471..12523	0	711.064	100.0	100.0	100.0	100.0	1.0
HPP12_RS00085	HPP12_RS00085	hypothetical protein	NC_011498	12615..13442	0	570.852	100.0	100.0	100.0	100.0	1.0
HPP12_RS00090	HPP12_RS00090	hypothetical protein	NC_011498	13587..13868	2.9e-63	182.57	100.0	100.0	100.0	100.0	1.0
HPP12_RS00095	HPP12_RS00095	hypothetical protein	NC_011498	13868..14131	4.8e-58	168.703	100.0	100.0	100.0	100.0	1.0
HPP12_RS00100	HPP12_RS00100	transporter	NC_011498	14133..16496	0	1590.86	100.0	100.0	100.0	100.0	1.0
HPP12_RS00105	HPP12_RS00105	hypothetical protein	NC_011498	16798..18138	0	919.457	100.0	100.0	100.0	100.0	1.0
HPP12_RS00110	HPP12_RS00110	chemotaxis protein CheV	NC_011498	18238..19203	0	658.292	100.0	100.0	100.0	100.0	1.0
HPP12_RS00115	HPP12_RS00115	carboxynorspermidine decarboxylase	NC_011498	19200..20417	0	844.729	100.0	100.0	100.0	100.0	1.0
HPP12_RS00120	HPP12_RS00120	lipid A 1-phosphatase	NC_011498	complement(20436..21011)	4.7e-141	387.111	100.0	100.0	100.0	100.0	1.0
HPP12_RS00125	HPP12_RS00125	lipid A phosphoethanolamine transferase	NC_011498	complement(21022..22587)	0	1053.51	100.0	100.0	100.0	100.0	1.0
HPP12_RS00130	HPP12_RS00130	hypothetical protein	NC_011498	22643..22765	1.9e-25	83.1889	100.0	100.0	100.0	100.0	1.0
HPP12_RS00135	HPP12_RS00135	hypothetical protein	NC_011498	22776..22868	3.2e-16	59.3066	100.0	100.0	100.0	100.0	1.0
HPP12_RS00140	HPP12_RS00140	membrane protein	NC_011498	complement(23206..25338)	0	1456.04	100.0	100.0	100.0	100.0	1.0
HPP12_RS00145	HPP12_RS00145	citrate (Si)-synthase	NC_011498	complement(25872..27152)	0	888.256	100.0	100.0	100.0	100.0	1.0
HPP12_RS00150	HPP12_RS00150	isocitrate dehydrogenase (NADP(+))	NC_011498	27354..28631	0	873.618	100.0	100.0	100.0	100.0	1.0
HPP12_RS00155	HPP12_RS00155	hypothetical protein	NC_011498	28699..29226	1.0e-130	359.762	100.0	100.0	100.0	100.0	1.0
HPP12_RS00160	HPP12_RS00160	dethiobiotin synthase	NC_011498	complement(29203..29859)	4.9e-163	444.891	100.0	100.0	100.0	100.0	1.0
HPP12_RS00165	HPP12_RS00165	hypothetical protein	NC_011498	complement(29863..31623)	0	1204.12	100.0	100.0	100.0	100.0	1.0
HPP12_RS00170	HPP12_RS00170	universal stress protein	NC_011498	31734..32147	3.7e-99	276.559	100.0	100.0	100.0	100.0	1.0
HPP12_RS00175	HPP12_RS00175	ATP-dependent Clp protease adaptor ClpS	NC_011498	32183..32458	4.9e-66	189.504	100.0	100.0	100.0	100.0	1.0
HPP12_RS00180	HPP12_RS00180	ATPase AAA	NC_011498	32458..34683	0	1490.71	100.0	100.0	100.0	100.0	1.0
HPP12_RS00185	HPP12_RS00185	aspartate 1-decarboxylase	NC_011498	34673..35023	3.8e-82	231.876	100.0	100.0	100.0	100.0	1.0
HPP12_RS00190	HPP12_RS00190	nucleoid-associated protein	NC_011498	35034..35327	3.8e-67	192.586	100.0	100.0	100.0	100.0	1.0
HPP12_RS00195	HPP12_RS00195	PDZ domain-containing protein	NC_011498	35327..36331	0	677.937	100.0	100.0	100.0	100.0	1.0
