query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HELPY_RS07755	HP0001	transcription antitermination protein NusB	NC_000915	complement(217..633)	2.4e-99	277.33	99.3	99.3	100.0	100.0	1.0
HELPY_RS07760	HP0002	6,7-dimethyl-8-ribityllumazine synthase	NC_000915	complement(635..1105)	3.4e-111	308.531	96.2	98.7	100.0	100.0	1.0
HELPY_RS00025	HP0003	2-dehydro-3-deoxyphosphooctonate aldolase	NC_000915	complement(1115..1945)	0	563.148	97.8	98.9	100.0	100.0	1.0
HELPY_RS00030	HP0004	carbonic anhydrase IcfA	NC_000915	complement(1932..2597)	3.7e-150	412.535	94.1	97.3	100.0	100.0	1.0
HELPY_RS00035	HP0005	orotidine 5'-phosphate decarboxylase	NC_000915	2719..3402	3.1e-164	448.743	97.8	99.6	100.0	100.0	1.0
HELPY_RS00040	HP0006	pantothenate synthetase	NC_000915	3403..4233	0	518.85	91.7	94.9	100.0	100.0	1.0
HELPY_RS00070	HP0009	membrane protein	NC_000915	complement(5241..7145)	0	1132.86	91.1	94.0	94.6	100.0	1.0
HELPY_RS00075	HP0010	molecular chaperone GroEL	NC_000915	complement(7603..9243)	0	1084.32	99.8	99.8	100.0	100.0	1.0
HELPY_RS00080	HP0011	co-chaperonin GroES	NC_000915	complement(9268..9624)	3.3e-84	237.269	100.0	100.0	100.0	100.0	1.0
HELPY_RS00085	HP0012	DNA primase	NC_000915	9911..11590	0	1095.88	96.4	98.2	100.0	100.0	1.0
HELPY_RS00090	HP0013	ATP-binding protein	NC_000915	11587..12639	0	695.656	97.4	99.1	100.0	100.0	1.0
HELPY_RS00095	HP0014	hypothetical protein	NC_000915	12728..13555	0	555.058	96.4	98.2	100.0	100.0	1.0
HELPY_RS00100	HP0015	hypothetical protein	NC_000915	13702..13983	1.3e-62	181.03	98.9	98.9	100.0	100.0	1.0
HELPY_RS00105	HP0016	hypothetical protein	NC_000915	13983..14246	3.7e-58	169.088	100.0	100.0	100.0	100.0	1.0
HELPY_RS00110	HP0017	VirB4 family type IV secretion/conjugal transfer ATPase	NC_000915	14248..16611	0	1553.5	97.5	98.9	100.0	100.0	1.0
HELPY_RS00115	HP0018	hypothetical protein	NC_000915	16863..18272	0	903.279	97.8	99.6	100.0	95.1	1.0
HELPY_RS00120	HP0019	chemotaxis protein CheV	NC_000915	18380..19345	0	652.514	99.1	99.7	100.0	100.0	1.0
HELPY_RS00125	HP0020	carboxynorspermidine decarboxylase NspC	NC_000915	19342..20559	0	830.476	97.8	99.5	100.0	100.0	1.0
HELPY_RS00130	HP0021	lipid A 1-phosphatase	NC_000915	complement(20569..21141)	3.0e-127	352.058	95.8	98.4	100.0	100.0	1.0
HELPY_RS00135	HP0022	lipid A phosphoethanolamine transferase	NC_000915	complement(21152..22717)	0	1015.37	95.8	97.9	100.0	100.0	1.0
HELPY_RS00140	-	-	-	-	-	0	0	0	0	0	0
HELPY_RS00145	HP0024	hypothetical protein	NC_000915	22903..22995	3.5e-15	56.6102	96.7	96.7	100.0	100.0	1.0
HELPY_RS00150	HP0025	membrane protein	NC_000915	complement(23324..25459)	0	1402.88	96.3	97.9	100.0	100.0	1.0
HELPY_RS00155	HP0026	type II citrate synthase	NC_000915	complement(26078..27358)	0	877.856	98.1	99.8	100.0	100.0	1.0
HELPY_RS00160	HP0027	isocitrate dehydrogenase	NC_000915	27557..28834	0	870.922	99.5	99.8	100.0	100.0	1.0
HELPY_RS00165	HP0028	hypothetical protein	NC_000915	28901..29434	2.0e-124	343.584	94.3	96.0	100.0	98.9	1.0
HELPY_RS00170	HP0029	ATP-dependent dethiobiotin synthetase BioD	NC_000915	complement(29411..30067)	5.9e-150	411.764	94.0	95.0	100.0	100.0	1.0
HELPY_RS00175	HP0030	hypothetical protein	NC_000915	complement(30071..31852)	0	691.804	60.3	74.0	100.0	100.0	1.0
HELPY_RS00180	HP0031	universal stress protein	NC_000915	31961..32374	4.8e-99	276.559	100.0	100.0	100.0	100.0	1.0
HELPY_RS00185	HP0032	ATP-dependent Clp protease adapter protein	NC_000915	32405..32680	2.4e-64	185.267	96.7	98.9	100.0	100.0	1.0
HELPY_RS00190	HP0033	ATP-dependent Clp protease ATP-binding subunit ClpA	NC_000915	32680..34905	0	1472.22	98.4	99.3	100.0	100.0	1.0
HELPY_RS00195	HP0034	aspartate 1-decarboxylase	NC_000915	34895..35248	2.0e-81	230.335	98.3	99.1	100.0	100.0	1.0
HELPY_RS00200	HP0035	nucleoid-associated protein	NC_000915	35251..35544	1.0e-64	186.808	97.0	97.0	100.0	100.0	1.0
HELPY_RS00205	HP0036	PDZ domain-containing protein	NC_000915	35544..36548	0	640.958	93.7	97.0	100.0	100.0	1.0
HELPY_RS00210	HP0037	hypothetical protein	NC_000915	36556..37611	0	648.662	95.4	96.3	100.0	100.0	1.0
HELPY_RS00215	-	-	-	-	-	0	0	0	0	0	0
HELPY_RS00220	HP0038	type IV secretory pathway protein	NC_000915	37738..38475	3.7e-178	485.337	97.2	98.8	100.0	100.0	1.0
HELPY_RS00225	-	-	-	-	-	0	0	0	0	0	0
HELPY_RS00230	HP0527	cag pathogenicity island protein cag7	NC_000915	complement(554206..559989)	5.0e-11	60.077	29.6	43.3	58.8	12.1	1.0
HELPY_RS00235	HP0043	mannose-6-phosphate isomerase	NC_000915	40651..42063	0	926.391	96.2	98.5	100.0	100.0	1.0
HELPY_RS00240	HP0044	GDP-D-mannose dehydratase	NC_000915	42105..43250	0	778.474	98.4	98.7	100.0	100.0	1.0
HELPY_RS00245	HP0045	nodulation protein NolK	NC_000915	43243..44175	0	619.002	97.7	99.4	100.0	100.0	1.0
HELPY_RS00250	HP0047	hydrogenase expression/formation protein HypE	NC_000915	complement(45041..46039)	0	646.736	97.0	98.8	100.0	100.0	1.0
HELPY_RS00255	HP0048	[NiFe] hydrogenase maturation protein HypF	NC_000915	complement(46042..48351)	0	1454.88	95.2	97.7	100.0	97.5	1.0
HELPY_RS00260	HP0049	agmatine deiminase	NC_000915	complement(48291..49283)	0	665.611	95.5	97.9	100.0	100.0	1.0
HELPY_RS00265	HP0050	adenine-specific DNA methyltransferase	NC_000915	complement(49335..50033)	1.6e-172	469.929	97.0	98.7	100.0	100.0	1.0
HELPY_RS00270	HP0051	cytosine specific DNA methyltransferase	NC_000915	complement(50030..51097)	1.4e-120	341.273	97.6	99.4	91.3	47.0	1.0
HELPY_RS00275	HP0054	adenine/cytosine DNA methyltransferase	NC_000915	complement(53715..56186)	7.9e-19	72.4034	94.1	97.1	91.9	4.1	0.0
HELPY_RS00280	HP0055	sodium/proline symporter	NC_000915	complement(56224..57714)	0	973.0	98.8	99.2	100.0	100.0	1.0
HELPY_RS00285	HP0056	bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	NC_000915	complement(57741..61298)	0	2393.23	97.0	98.9	100.0	100.0	1.0
HELPY_RS00290	HP0057	hypothetical protein	NC_000915	61619..61828	1.6e-45	135.961	91.3	94.2	100.0	100.0	1.0
HELPY_RS00295	HP0059	hypothetical protein	NC_000915	63145..63999	6.0e-05	38.5058	36.4	50.0	29.6	31.0	0.0
HELPY_RS00300	HP0059	hypothetical protein	NC_000915	63145..63999	4.1e-92	270.396	57.5	64.9	99.6	100.0	1.0
HELPY_RS00310	HP0061	hypothetical protein	NC_000915	66454..67023	1.3e-122	340.117	85.7	93.7	100.0	100.0	1.0
HELPY_RS00315	HP0062	hypothetical protein	NC_000915	67039..67299	7.1e-53	155.606	89.5	95.3	100.0	100.0	1.0
HELPY_RS00320	HP0063	hypothetical protein	NC_000915	67310..68800	1.6e-127	379.407	62.8	73.3	53.8	71.0	1.0
HELPY_RS00325	HP0064	hypothetical protein	NC_000915	68770..69189	1.1e-83	237.654	83.7	89.4	100.0	100.0	1.0
HELPY_RS00330	HP0065	hypothetical protein	NC_000915	69191..69544	4.0e-71	204.142	87.7	94.7	99.1	97.4	1.0
HELPY_RS00340	HP0066	ATP-binding protein	NC_000915	69468..71963	0	869.766	83.4	91.3	100.0	60.8	1.0
HELPY_RS00345	HP0067	urease accessory protein UreH	NC_000915	complement(72021..72818)	0	522.702	93.6	97.0	100.0	100.0	1.0
HELPY_RS00350	HP0068	urease accessory protein UreG	NC_000915	complement(72818..73417)	1.5e-148	406.757	100.0	100.0	100.0	100.0	1.0
HELPY_RS00355	HP0069	urease accessory protein UreF	NC_000915	complement(73446..74210)	0	499.204	94.9	97.3	100.0	100.0	1.0
