query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HP0001	HPB8_RS07715	N utilization substance protein B	NC_014256	1591369..1591785	4.9e-99	276.559	98.6	99.3	100.0	100.0	1.0
HP0002	HPB8_RS07710	6,7-dimethyl-8-ribityllumazine synthase	NC_014256	1590897..1591367	1.4e-110	306.99	95.5	98.1	100.0	100.0	1.0
HP0003	HPB8_RS07705	3-deoxy-8-phosphooctulonate synthase	NC_014256	1590057..1590887	0	564.303	98.2	99.3	100.0	100.0	1.0
HP0004	HPB8_RS07700	carbonic anhydrase	NC_014256	1589405..1590070	8.1e-150	411.764	94.1	96.8	100.0	100.0	1.0
HP0005	HPB8_RS07695	orotidine 5'-phosphate decarboxylase	NC_014256	complement(1588600..1589283)	1.5e-162	444.506	96.9	98.7	100.0	100.0	1.0
HP0006	HPB8_RS07690	pantoate--beta-alanine ligase	NC_014256	complement(1587769..1588599)	0	498.434	91.3	94.6	100.0	100.0	1.0
HP0009	HPB8_RS07655	membrane protein	NC_014256	1584702..1586753	0	1165.21	95.4	97.2	100.0	92.5	1.0
HP0010	HPB8_RS07650	molecular chaperone GroEL	NC_014256	1582780..1584420	0	1087.79	99.8	100.0	100.0	100.0	1.0
HP0011	HPB8_RS07645	co-chaperone GroES	NC_014256	1582399..1582755	3.4e-84	237.269	100.0	100.0	100.0	100.0	1.0
HP0012	HPB8_RS07635	DNA primase	NC_014256	complement(1580434..1582113)	0	1072.77	95.2	96.2	100.0	100.0	1.0
HP0013	HPB8_RS07630	ATP-binding protein	NC_014256	complement(1579385..1580437)	0	691.419	96.9	99.1	100.0	100.0	1.0
HP0014	HPB8_RS07625	hypothetical protein	NC_014256	complement(1578468..1579295)	0	560.451	97.8	99.3	100.0	100.0	1.0
HP0015	HPB8_RS07620	hypothetical protein	NC_014256	complement(1578042..1578323)	4.3e-63	182.185	98.9	100.0	100.0	100.0	1.0
HP0016	HPB8_RS07615	hypothetical protein	NC_014256	complement(1577779..1578042)	2.1e-56	164.851	98.9	98.9	100.0	100.0	1.0
HP0017	HPB8_RS07610	transporter	NC_014256	complement(1575414..1577777)	0	1562.36	98.0	99.0	100.0	100.0	1.0
HP0018	HPB8_RS07605	hypothetical protein	NC_014256	complement(1573761..1575101)	0	904.82	98.0	99.6	95.1	100.0	1.0
HP0019	HPB8_RS07600	chemotaxis protein CheV	NC_014256	complement(1572696..1573661)	0	655.596	99.7	100.0	100.0	100.0	1.0
HP0020	HPB8_RS07595	carboxynorspermidine decarboxylase	NC_014256	complement(1571482..1572699)	0	838.18	99.0	99.8	100.0	100.0	1.0
HP0021	HPB8_RS07590	lipid A 1-phosphatase	NC_014256	1570887..1571459	1.1e-136	375.941	96.8	98.4	99.5	99.5	1.0
HP0022	HPB8_RS07585	lipid A phosphoethanolamine transferase	NC_014256	1569305..1570876	0	1012.68	95.6	97.7	100.0	100.0	1.0
HP0024	HPB8_RS07575	hypothetical protein	NC_014256	complement(1569026..1569118)	3.6e-15	56.6102	96.7	96.7	100.0	100.0	1.0
HP0025	HPB8_RS07565	membrane protein	NC_014256	1566568..1568703	0	1369.76	96.3	97.7	100.0	100.0	1.0
HP0026	HPB8_RS07560	citrate (Si)-synthase	NC_014256	1564762..1566042	0	882.093	99.1	99.5	100.0	100.0	1.0
HP0027	HPB8_RS07555	isocitrate dehydrogenase (NADP(+))	NC_014256	complement(1563285..1564562)	0	870.922	99.5	100.0	100.0	100.0	1.0
HP0028	HPB8_RS07550	hypothetical protein	NC_014256	complement(1562687..1563214)	2.8e-125	345.895	94.9	97.1	98.9	100.0	1.0
HP0029	HPB8_RS07545	dethiobiotin synthase	NC_014256	1562054..1562710	8.9e-160	436.802	97.7	98.6	100.0	100.0	1.0
HP0030	HPB8_RS07540	hypothetical protein	NC_014256	1560332..1562050	0	681.789	59.7	73.5	100.0	100.0	1.0
HP0031	HPB8_RS07535	universal stress protein	NC_014256	complement(1559808..1560221)	4.9e-99	276.559	100.0	100.0	100.0	100.0	1.0
