query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPP12_RS00005	HP0001	transcription antitermination protein NusB	NC_000915	complement(217..633)	8.3e-100	278.485	99.3	100.0	100.0	100.0	1.0
HPP12_RS00010	HP0002	6,7-dimethyl-8-ribityllumazine synthase	NC_000915	complement(635..1105)	1.4e-110	306.99	95.5	98.7	100.0	100.0	1.0
HPP12_RS00015	HP0003	2-dehydro-3-deoxyphosphooctonate aldolase	NC_000915	complement(1115..1945)	0	551.977	96.4	97.1	100.0	100.0	1.0
HPP12_RS00020	HP0004	carbonic anhydrase IcfA	NC_000915	complement(1932..2597)	1.3e-149	410.994	94.6	97.3	100.0	100.0	1.0
HPP12_RS00025	HP0005	orotidine 5'-phosphate decarboxylase	NC_000915	2719..3402	1.8e-162	444.121	96.5	98.7	100.0	100.0	1.0
HPP12_RS00030	HP0006	pantothenate synthetase	NC_000915	3403..4233	0	517.309	90.2	94.9	100.0	100.0	1.0
HPP12_RS00060	HP0009	membrane protein	NC_000915	complement(5241..7145)	0	1032.71	80.4	85.8	94.8	100.0	1.0
HPP12_RS00065	HP0010	molecular chaperone GroEL	NC_000915	complement(7603..9243)	0	1080.09	99.5	99.5	100.0	100.0	1.0
HPP12_RS00070	HP0011	co-chaperonin GroES	NC_000915	complement(9268..9624)	1.6e-83	235.728	99.2	99.2	100.0	100.0	1.0
HPP12_RS00075	HP0012	DNA primase	NC_000915	9911..11590	0	1081.63	95.5	97.5	100.0	100.0	1.0
HPP12_RS00080	HP0013	ATP-binding protein	NC_000915	11587..12639	0	687.952	96.9	98.9	100.0	100.0	1.0
HPP12_RS00085	HP0014	hypothetical protein	NC_000915	12728..13555	0	548.895	96.4	98.2	100.0	100.0	1.0
HPP12_RS00090	HP0015	hypothetical protein	NC_000915	13702..13983	4.2e-63	182.185	98.9	100.0	100.0	100.0	1.0
HPP12_RS00095	HP0016	hypothetical protein	NC_000915	13983..14246	2.0e-57	167.162	98.9	98.9	100.0	100.0	1.0
HPP12_RS00100	HP0017	VirB4 family type IV secretion/conjugal transfer ATPase	NC_000915	14248..16611	0	1562.36	98.0	98.9	100.0	100.0	1.0
HPP12_RS00105	HP0018	hypothetical protein	NC_000915	16863..18272	0	904.82	98.0	99.6	100.0	95.1	1.0
HPP12_RS00110	HP0019	chemotaxis protein CheV	NC_000915	18380..19345	0	652.899	99.1	99.7	100.0	100.0	1.0
HPP12_RS00115	HP0020	carboxynorspermidine decarboxylase NspC	NC_000915	19342..20559	0	823.928	96.5	99.0	100.0	100.0	1.0
HPP12_RS00120	HP0021	lipid A 1-phosphatase	NC_000915	complement(20569..21141)	3.2e-124	344.354	94.7	97.9	99.0	99.5	1.0
HPP12_RS00125	HP0022	lipid A phosphoethanolamine transferase	NC_000915	complement(21152..22717)	0	1013.06	95.6	98.1	100.0	100.0	1.0
HPP12_RS00130	-	-	-	-	-	0	0	0	0	0	0
HPP12_RS00135	HP0024	hypothetical protein	NC_000915	22903..22995	3.5e-15	56.6102	96.7	96.7	100.0	100.0	1.0
HPP12_RS00140	HP0025	membrane protein	NC_000915	complement(23324..25459)	0	1408.66	96.5	97.9	100.0	100.0	1.0
HPP12_RS00145	HP0026	type II citrate synthase	NC_000915	complement(26078..27358)	0	879.782	98.6	99.5	100.0	100.0	1.0
HPP12_RS00150	HP0027	isocitrate dehydrogenase	NC_000915	27557..28834	0	865.914	98.8	99.5	100.0	100.0	1.0
HPP12_RS00155	HP0028	hypothetical protein	NC_000915	28901..29434	1.8e-126	348.977	96.6	97.7	100.0	98.9	1.0
HPP12_RS00160	HP0029	ATP-dependent dethiobiotin synthetase BioD	NC_000915	complement(29411..30067)	1.3e-149	410.994	92.7	95.4	100.0	100.0	1.0
HPP12_RS00165	HP0030	hypothetical protein	NC_000915	complement(30071..31852)	0	642.499	57.0	70.1	100.0	100.0	1.0
HPP12_RS00170	HP0031	universal stress protein	NC_000915	31961..32374	9.7e-98	273.092	98.5	99.3	100.0	100.0	1.0
HPP12_RS00175	HP0032	ATP-dependent Clp protease adapter protein	NC_000915	32405..32680	9.7e-61	176.022	92.3	94.5	100.0	100.0	1.0
HPP12_RS00180	HP0033	ATP-dependent Clp protease ATP-binding subunit ClpA	NC_000915	32680..34905	0	1461.43	97.8	98.8	100.0	100.0	1.0
HPP12_RS00185	HP0034	aspartate 1-decarboxylase	NC_000915	34895..35248	1.7e-81	230.335	98.3	100.0	100.0	99.1	1.0
HPP12_RS00190	HP0035	nucleoid-associated protein	NC_000915	35251..35544	1.2e-66	191.43	99.0	100.0	100.0	100.0	1.0
HPP12_RS00195	HP0036	PDZ domain-containing protein	NC_000915	35544..36548	0	650.973	94.9	97.6	100.0	100.0	1.0
HPP12_RS00200	HP0037	hypothetical protein	NC_000915	36556..37611	0	652.899	96.0	96.6	100.0	100.0	1.0
HPP12_RS00205	-	-	-	-	-	0	0	0	0	0	0
HPP12_RS00210	HP0038	type IV secretory pathway protein	NC_000915	37738..38475	9.7e-177	481.871	96.8	98.4	100.0	100.0	1.0
HPP12_RS00215	-	-	-	-	-	0	0	0	0	0	0
HPP12_RS00220	HP0527	cag pathogenicity island protein cag7	NC_000915	complement(554206..559989)	9.5e-11	58.9214	30.2	45.5	47.9	9.7	0.0
HPP12_RS00230	HP0044	GDP-D-mannose dehydratase	NC_000915	42105..43250	0	778.474	98.2	99.2	100.0	100.0	1.0
HPP12_RS00235	HP0045	nodulation protein NolK	NC_000915	43243..44175	0	616.69	97.1	98.7	100.0	100.0	1.0
HPP12_RS00240	HP1438	hypothetical protein	NC_000915	1509160..1510176	6.4e-07	40.817	48.6	74.3	43.8	10.1	1.0
HPP12_RS00245	HP0047	hydrogenase expression/formation protein HypE	NC_000915	complement(45041..46039)	0	654.44	98.2	98.8	100.0	100.0	1.0
HPP12_RS00250	HP0048	[NiFe] hydrogenase maturation protein HypF	NC_000915	complement(46042..48351)	0	1443.71	94.5	97.3	100.0	97.5	1.0
HPP12_RS00255	HP0049	agmatine deiminase	NC_000915	complement(48291..49283)	0	670.233	97.3	97.9	100.0	100.0	1.0
HPP12_RS00260	HP0050	adenine-specific DNA methyltransferase	NC_000915	complement(49335..50033)	4.1e-170	463.766	96.1	98.7	100.0	99.1	1.0
HPP12_RS00265	HP0051	cytosine specific DNA methyltransferase	NC_000915	complement(50030..51097)	0	715.687	97.7	99.2	100.0	100.0	1.0
HPP12_RS00270	-	-	-	-	-	0	0	0	0	0	0
HPP12_RS00275	HP0053	hypothetical protein	NC_000915	complement(52459..53718)	0	794.653	93.8	96.4	98.3	99.0	1.0
HPP12_RS00280	HP0054	adenine/cytosine DNA methyltransferase	NC_000915	complement(53715..56186)	0	1647.1	97.8	98.7	100.0	99.9	1.0
HPP12_RS00285	HP0055	sodium/proline symporter	NC_000915	complement(56224..57714)	0	974.156	99.0	99.4	100.0	100.0	1.0
HPP12_RS00290	HP0056	bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	NC_000915	complement(57741..61298)	0	2401.71	97.6	98.9	100.0	100.0	1.0
HPP12_RS00295	HP0057	hypothetical protein	NC_000915	61619..61828	4.4e-47	139.813	94.2	97.1	100.0	100.0	1.0
HPP12_RS00300	HP0059	hypothetical protein	NC_000915	63145..63999	3.9e-18	73.559	49.5	71.0	75.6	30.3	0.0
