query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HP0001	HP0001	transcription antitermination protein NusB	NC_000915	complement(217..633)	4.1e-100	279.256	100.0	100.0	100.0	100.0	1.0
HP0002	HP0002	6,7-dimethyl-8-ribityllumazine synthase	NC_000915	complement(635..1105)	7.4e-116	320.472	100.0	100.0	100.0	100.0	1.0
HP0003	HP0003	2-dehydro-3-deoxyphosphooctonate aldolase	NC_000915	complement(1115..1945)	0	572.778	100.0	100.0	100.0	100.0	1.0
HP0004	HP0004	carbonic anhydrase IcfA	NC_000915	complement(1932..2597)	5.3e-169	460.299	100.0	100.0	100.0	100.0	1.0
HP0005	HP0005	orotidine 5'-phosphate decarboxylase	NC_000915	2719..3402	1.1e-167	457.218	100.0	100.0	100.0	100.0	1.0
HP0006	HP0006	pantothenate synthetase	NC_000915	3403..4233	0	565.844	100.0	100.0	100.0	100.0	1.0
HP0009	HP0009	membrane protein	NC_000915	complement(5241..7145)	0	1296.18	100.0	100.0	100.0	100.0	1.0
HP0010	HP0010	molecular chaperone GroEL	NC_000915	complement(7603..9243)	0	1087.79	100.0	100.0	100.0	100.0	1.0
HP0011	HP0011	co-chaperonin GroES	NC_000915	complement(9268..9624)	3.3e-84	237.269	100.0	100.0	100.0	100.0	1.0
HP0012	HP0012	DNA primase	NC_000915	9911..11590	0	1135.17	100.0	100.0	100.0	100.0	1.0
HP0013	HP0013	ATP-binding protein	NC_000915	11587..12639	0	711.064	100.0	100.0	100.0	100.0	1.0
HP0014	HP0014	hypothetical protein	NC_000915	12728..13555	0	569.696	100.0	100.0	100.0	100.0	1.0
HP0015	HP0015	hypothetical protein	NC_000915	13702..13983	2.4e-63	182.57	100.0	100.0	100.0	100.0	1.0
HP0016	HP0016	hypothetical protein	NC_000915	13983..14246	3.7e-58	169.088	100.0	100.0	100.0	100.0	1.0
HP0017	HP0017	VirB4 family type IV secretion/conjugal transfer ATPase	NC_000915	14248..16611	0	1591.25	100.0	100.0	100.0	100.0	1.0
HP0018	HP0018	hypothetical protein	NC_000915	16863..18272	0	965.681	100.0	100.0	100.0	100.0	1.0
HP0019	HP0019	chemotaxis protein CheV	NC_000915	18380..19345	0	658.292	100.0	100.0	100.0	100.0	1.0
HP0020	HP0020	carboxynorspermidine decarboxylase NspC	NC_000915	19342..20559	0	842.417	100.0	100.0	100.0	100.0	1.0
HP0021	HP0021	lipid A 1-phosphatase	NC_000915	complement(20569..21141)	1.2e-140	385.956	100.0	100.0	100.0	100.0	1.0
