query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPB8_RS00005	HP1530	hypothetical protein	NC_000915	1609150..1609692	1.1e-123	342.428	93.3	97.2	100.0	100.0	1.0
HPB8_RS00010	HP1529	chromosome replication initiator DnaA	NC_000915	complement(1607624..1608997)	0	927.546	98.9	99.3	100.0	100.0	1.0
HPB8_RS00015	-	-	-	-	-	0	0	0	0	0	0
HPB8_RS00020	HP1527	hypothetical protein	NC_000915	complement(1605956..1607395)	0	946.421	95.2	98.1	100.0	100.0	1.0
HPB8_RS00030	HP1526	exodeoxyribonuclease III	NC_000915	complement(1605024..1605776)	0	514.998	98.4	99.2	100.0	100.0	1.0
HPB8_RS00035	HP1525	membrane protein	NC_000915	1604392..1605027	5.7e-157	429.098	98.6	99.1	100.0	100.0	1.0
HPB8_RS00040	HP1524	lipoprotein	NC_000915	1604041..1604388	2.7e-77	219.55	95.7	98.3	100.0	100.0	1.0
HPB8_RS00045	HP1523	ATP-dependent DNA helicase RecG	NC_000915	complement(1602088..1603959)	0	1234.17	97.4	98.7	100.0	100.0	1.0
HPB8_RS00050	HP1369m	adenine-specific DNA methyltransferase	NC_000915	1430856..1433284	4.4e-27	110.923	41.0	52.4	33.3	17.1	0.0
HPB8_RS00055	-	-	-	-	-	0	0	0	0	0	0
HPB8_RS00060	HP1521	type III restriction-modification system endonuclease	NC_000915	complement(1597196..1600099)	0	1838.16	93.8	96.8	100.0	100.0	1.0
HPB8_RS00070	HP0024	hypothetical protein	NC_000915	22903..22995	9.2e-04	27.7202	50.0	60.0	100.0	100.0	0.0
HPB8_RS00075	-	-	-	-	-	0	0	0	0	0	0
HPB8_RS00080	-	-	-	-	-	0	0	0	0	0	0
HPB8_RS00085	HP1514	transcription termination/antitermination protein NusA	NC_000915	1588569..1589756	0	787.334	98.7	100.0	100.0	100.0	1.0
HPB8_RS00090	HP1513	L-seryl-tRNA(Sec) selenium transferase	NC_000915	1587307..1588467	0	722.62	92.7	94.8	98.7	99.7	1.0
HPB8_RS00095	HP1512	hypothetical protein	NC_000915	1584447..1587080	0	1790.39	99.1	99.8	100.0	100.0	1.0
HPB8_RS00100	HP1511	hypothetical protein	NC_000915	1583967..1584293	6.3e-72	205.682	91.7	95.4	100.0	100.0	1.0
HPB8_RS00105	HP1510	dihydroneopterin aldolase	NC_000915	1583630..1583983	4.7e-75	214.157	89.7	94.9	100.0	100.0	1.0
HPB8_RS00110	HP1509	glycerol-3-phosphate acyltransferase PlsY	NC_000915	1582845..1583633	3.6e-156	429.483	100.0	100.0	100.0	84.0	1.0
HPB8_RS00115	HP1508	cytochrome c oxidase accessory protein	NC_000915	complement(1581489..1582865)	0	924.85	97.4	98.5	100.0	100.0	1.0
HPB8_RS00120	HP1507	saccharopine dehydrogenase	NC_000915	1580322..1581479	0	801.201	98.4	99.5	96.5	100.0	1.0
HPB8_RS00125	HP1506	glutamate permease GltS	NC_000915	complement(1578968..1580194)	0	796.579	98.0	98.3	100.0	100.0	1.0
HPB8_RS00130	HP1505	hypothetical protein	NC_000915	complement(1577937..1578971)	0	685.641	96.5	98.5	100.0	100.0	1.0
HPB8_RS00135	HP1504	methyltransferase	NC_000915	complement(1577239..1577955)	1.2e-174	475.707	97.5	99.2	100.0	100.0	1.0
HPB8_RS00140	HP1503	cation-transporting ATPase	NC_000915	complement(1574847..1577213)	0	1448.34	96.1	98.0	100.0	100.0	1.0
