query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPG27_RS00005	HPB8_RS07715	N utilization substance protein B	NC_014256	1591369..1591785	3.8e-100	279.256	100.0	100.0	100.0	100.0	1.0
HPG27_RS00010	HPB8_RS07710	6,7-dimethyl-8-ribityllumazine synthase	NC_014256	1590897..1591367	7.3e-112	310.457	96.8	98.7	100.0	100.0	1.0
HPG27_RS00015	HPB8_RS07705	3-deoxy-8-phosphooctulonate synthase	NC_014256	1590057..1590887	0	539.265	96.0	97.8	100.0	100.0	1.0
HPG27_RS00020	HPB8_RS07700	carbonic anhydrase	NC_014256	1589405..1590070	3.6e-163	445.277	96.4	98.6	100.0	100.0	1.0
HPG27_RS00025	HPB8_RS07695	orotidine 5'-phosphate decarboxylase	NC_014256	complement(1588600..1589283)	8.7e-162	442.58	96.9	98.2	100.0	100.0	1.0
HPG27_RS00030	HPB8_RS07690	pantoate--beta-alanine ligase	NC_014256	complement(1587769..1588599)	0	507.679	92.4	95.7	100.0	100.0	1.0
HPG27_RS00060	HPB8_RS07655	membrane protein	NC_014256	1584702..1586753	0	1177.93	92.9	95.8	97.3	95.2	1.0
HPG27_RS00070	HPB8_RS07650	molecular chaperone GroEL	NC_014256	1582780..1584420	0	1084.32	99.8	99.8	100.0	100.0	1.0
HPG27_RS00075	HPB8_RS07645	co-chaperone GroES	NC_014256	1582399..1582755	2.3e-83	235.343	99.2	99.2	100.0	100.0	1.0
HPG27_RS00080	HPB8_RS07635	DNA primase	NC_014256	complement(1580434..1582113)	0	1105.51	97.9	98.7	100.0	100.0	1.0
HPG27_RS00085	HPB8_RS07630	ATP-binding protein	NC_014256	complement(1579385..1580437)	0	697.582	97.7	98.9	100.0	100.0	1.0
HPG27_RS00090	HPB8_RS07625	hypothetical protein	NC_014256	complement(1578468..1579295)	0	556.599	96.7	98.9	100.0	100.0	1.0
HPG27_RS00095	HPB8_RS07620	hypothetical protein	NC_014256	complement(1578042..1578323)	2.9e-63	182.57	100.0	100.0	100.0	100.0	1.0
HPG27_RS00100	HPB8_RS07615	hypothetical protein	NC_014256	complement(1577779..1578042)	2.1e-56	164.851	98.9	98.9	100.0	100.0	1.0
HPG27_RS00105	HPB8_RS07610	transporter	NC_014256	complement(1575414..1577777)	0	1565.44	98.0	99.2	100.0	100.0	1.0
HPG27_RS00110	HPB8_RS07605	hypothetical protein	NC_014256	complement(1573761..1575101)	0	890.952	96.2	98.7	100.0	100.0	1.0
HPG27_RS00115	HPB8_RS07600	chemotaxis protein CheV	NC_014256	complement(1572696..1573661)	0	654.44	99.4	100.0	100.0	100.0	1.0
HPG27_RS00120	HPB8_RS07595	carboxynorspermidine decarboxylase	NC_014256	complement(1571482..1572699)	0	830.476	97.5	99.5	100.0	100.0	1.0
HPG27_RS00125	HPB8_RS07590	lipid A 1-phosphatase	NC_014256	1570887..1571459	1.5e-135	373.244	96.8	98.4	99.0	99.5	1.0
HPG27_RS00130	HPB8_RS07585	lipid A phosphoethanolamine transferase	NC_014256	1569305..1570876	0	1018.45	96.2	98.5	100.0	100.0	1.0
HPG27_RS00135	HPB8_RS07575	hypothetical protein	NC_014256	complement(1569026..1569118)	3.3e-16	59.3066	100.0	100.0	100.0	100.0	1.0
HPG27_RS00140	HPB8_RS07565	membrane protein	NC_014256	1566568..1568703	0	1357.04	95.8	98.0	100.0	100.0	1.0
HPG27_RS00145	HPB8_RS07560	citrate (Si)-synthase	NC_014256	1564762..1566042	0	880.552	99.1	99.5	100.0	100.0	1.0
HPG27_RS00150	HPB8_RS07555	isocitrate dehydrogenase (NADP(+))	NC_014256	complement(1563285..1564562)	0	871.307	99.5	99.5	100.0	100.0	1.0
HPG27_RS00155	HPB8_RS07550	hypothetical protein	NC_014256	complement(1562687..1563214)	1.3e-126	349.362	96.0	97.7	100.0	100.0	1.0
HPG27_RS00160	HPB8_RS07545	dethiobiotin synthase	NC_014256	1562054..1562710	1.8e-151	415.616	93.6	96.3	100.0	100.0	1.0
HPG27_RS00165	HPB8_RS07540	hypothetical protein	NC_014256	1560332..1562050	0	854.744	74.0	85.4	100.0	100.0	1.0
HPG27_RS00170	HPB8_RS07535	universal stress protein	NC_014256	complement(1559808..1560221)	4.9e-99	276.559	100.0	100.0	100.0	100.0	1.0
HPG27_RS00175	HPB8_RS07530	ATP-dependent Clp protease adaptor ClpS	NC_014256	complement(1559518..1559793)	2.4e-62	179.874	94.5	96.7	100.0	100.0	1.0
HPG27_RS00180	HPB8_RS07525	ATPase AAA	NC_014256	complement(1557293..1559518)	0	1465.67	98.2	98.8	100.0	100.0	1.0
HPG27_RS00185	HPB8_RS07520	aspartate 1-decarboxylase	NC_014256	complement(1556950..1557303)	3.8e-80	227.254	96.6	98.3	100.0	100.0	1.0
HPG27_RS00190	HPB8_RS07515	nucleoid-associated protein	NC_014256	complement(1556645..1556947)	9.2e-69	196.823	100.0	100.0	100.0	100.0	1.0
HPG27_RS00195	HPB8_RS07510	PDZ domain-containing protein	NC_014256	complement(1555650..1556645)	0	635.565	94.0	96.7	100.0	100.0	1.0
HPG27_RS00200	HPB8_RS07505	conjugal transfer protein TrbL	NC_014256	complement(1554587..1555642)	0	686.026	97.4	98.0	100.0	100.0	1.0
HPG27_RS00205	HPB8_RS07500	hypothetical protein	NC_014256	complement(1554458..1554571)	5.8e-24	79.337	100.0	100.0	100.0	100.0	1.0
HPG27_RS00210	HPB8_RS07495	hypothetical protein	NC_014256	complement(1553718..1554461)	0	496.893	98.4	99.2	100.0	100.0	1.0
HPG27_RS00215	HPB8_RS07490	conjugal transfer protein	NC_014256	complement(1552735..1553718)	0	623.239	95.7	96.9	100.0	100.0	1.0
HPG27_RS00220	HPB8_RS07485	membrane protein	NC_014256	complement(1551606..1552742)	0	726.087	94.2	96.0	100.0	100.0	1.0
HPG27_RS00225	HPB8_RS07480	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	NC_014256	complement(1550124..1551536)	0	934.48	97.2	98.9	99.2	99.6	1.0
HPG27_RS00230	HPB8_RS07475	GDP-mannose 4,6-dehydratase	NC_014256	complement(1548951..1550096)	0	767.303	97.1	98.2	100.0	100.0	1.0
HPG27_RS00235	HPB8_RS07470	GDP-fucose synthetase	NC_014256	complement(1548026..1548958)	0	605.905	96.1	97.7	100.0	100.0	1.0
HPG27_RS00240	HPB8_RS02470	hypothetical protein	NC_014256	complement(488980..490128)	3.4e-31	119.013	30.0	49.9	85.5	97.9	0.0
HPG27_RS00245	HPB8_RS02475	hypothetical protein	NC_014256	complement(490097..490564)	1.3e-09	48.9062	29.5	46.4	87.0	67.7	0.0
HPG27_RS00255	HPB8_RS07465	hydrogenase expression/formation protein HypE	NC_014256	1546721..1547719	0	647.506	97.3	98.2	100.0	100.0	1.0
HPG27_RS00260	HPB8_RS07460	carbamoyltransferase HypF	NC_014256	1544466..1546718	0	1436.78	93.3	96.4	100.0	100.0	1.0
HPG27_RS00265	HPB8_RS07455	agmatine deiminase	NC_014256	1543477..1544469	0	662.529	95.5	97.9	100.0	100.0	1.0
HPG27_RS00270	HPB8_RS07225	DNA methyltransferase	NC_014256	1490298..1490996	9.8e-170	462.996	94.8	98.3	100.0	100.0	1.0
HPG27_RS00275	HPB8_RS07220	DNA cytosine methyltransferase	NC_014256	1489235..1490320	0	699.508	96.0	97.2	99.7	98.1	1.0
HPG27_RS00295	HPB8_RS07190	sodium/proline symporter	NC_014256	1483779..1485269	0	973.77	99.2	99.8	100.0	100.0	1.0
HPG27_RS00300	HPB8_RS07185	1-pyrroline-5-carboxylate dehydrogenase	NC_014256	1480195..1483752	0	2402.09	97.7	99.1	100.0	100.0	1.0
HPG27_RS00305	HPB8_RS07180	hypothetical protein	NC_014256	complement(1479664..1479873)	1.4e-47	140.969	97.1	97.1	100.0	100.0	1.0
HPG27_RS00310	HPB8_RS07175	hypothetical protein	NC_014256	complement(1478360..1479163)	4.2e-110	313.538	75.7	80.6	95.3	72.7	1.0
HPG27_RS00315	HPB8_RS07170	hypothetical protein	NC_014256	complement(1477793..1478281)	1.8e-67	201.83	71.6	79.6	61.5	99.4	1.0
HPG27_RS00325	HPB8_RS07160	hypothetical protein	NC_014256	complement(1474793..1475362)	3.9e-117	326.25	85.7	89.4	100.0	100.0	1.0
HPG27_RS00330	HPB8_RS07155	hypothetical protein	NC_014256	complement(1474517..1474777)	2.4e-51	151.754	86.0	93.0	100.0	100.0	1.0
HPG27_RS00340	HPB8_RS07145	cell division protein	NC_014256	complement(1472637..1473056)	2.5e-88	249.595	88.7	92.9	100.0	100.0	1.0
HPG27_RS00345	HPB8_RS07140	hypothetical protein	NC_014256	complement(1472285..1472635)	9.3e-62	180.644	78.3	89.6	98.3	99.1	1.0
HPG27_RS00355	HPB8_RS07130	urease accessory protein	NC_014256	1468992..1469789	0	537.724	97.4	98.1	100.0	100.0	1.0
