query	target	product	sequence	location	Eval	score	identity	similarity	query_coverage	target_coverage	BBH
HPP12_RS00005	HPG27_RS00005	N utilization substance protein B	NC_011333	complement(1..417)	1.3e-99	278.1	99.3	99.3	100.0	100.0	1.0
HPP12_RS00010	HPG27_RS00010	6,7-dimethyl-8-ribityllumazine synthase	NC_011333	complement(419..889)	4.6e-108	300.827	94.2	96.8	100.0	100.0	1.0
HPP12_RS00015	HPG27_RS00015	3-deoxy-8-phosphooctulonate synthase	NC_011333	complement(899..1729)	0	550.821	96.0	97.1	100.0	100.0	1.0
HPP12_RS00020	HPG27_RS00020	carbonic anhydrase	NC_011333	complement(1716..2381)	3.6e-150	412.535	93.2	97.3	100.0	100.0	1.0
HPP12_RS00025	HPG27_RS00025	orotidine 5'-phosphate decarboxylase	NC_011333	2503..3186	4.7e-161	440.654	96.0	98.2	100.0	100.0	1.0
HPP12_RS00030	HPG27_RS00030	pantoate--beta-alanine ligase	NC_011333	3187..4017	0	541.962	94.6	96.4	100.0	100.0	1.0
HPP12_RS00060	HPG27_RS00060	membrane protein	NC_011333	complement(5040..7040)	0	1026.54	79.9	85.1	100.0	100.0	1.0
HPP12_RS00065	HPG27_RS00070	molecular chaperone GroEL	NC_011333	complement(7374..9014)	0	1083.17	99.5	99.6	100.0	100.0	1.0
HPP12_RS00070	HPG27_RS00075	co-chaperone GroES	NC_011333	complement(9042..9398)	8.3e-83	233.802	98.3	98.3	100.0	100.0	1.0
HPP12_RS00075	HPG27_RS00080	DNA primase	NC_011333	9684..11363	0	1100.89	97.7	98.7	100.0	100.0	1.0
HPP12_RS00080	HPG27_RS00085	ATP-binding protein	NC_011333	11360..12412	0	696.041	98.0	98.9	100.0	100.0	1.0
HPP12_RS00085	HPG27_RS00090	hypothetical protein	NC_011333	12502..13329	0	553.518	96.0	98.2	100.0	100.0	1.0
HPP12_RS00090	HPG27_RS00095	hypothetical protein	NC_011333	13476..13757	2.8e-63	182.57	100.0	100.0	100.0	100.0	1.0
HPP12_RS00095	HPG27_RS00100	hypothetical protein	NC_011333	13757..14020	1.9e-57	167.162	98.9	98.9	100.0	100.0	1.0
HPP12_RS00100	HPG27_RS00105	transporter	NC_011333	14022..16385	0	1557.73	97.6	98.6	100.0	100.0	1.0
HPP12_RS00105	HPG27_RS00110	hypothetical protein	NC_011333	16687..18027	0	899.812	97.3	99.1	100.0	100.0	1.0
HPP12_RS00110	HPG27_RS00115	chemotaxis protein CheV	NC_011333	18135..19100	0	654.44	99.4	99.7	100.0	100.0	1.0
HPP12_RS00115	HPG27_RS00120	carboxynorspermidine decarboxylase	NC_011333	19097..20314	0	828.935	97.0	99.8	100.0	100.0	1.0
HPP12_RS00120	HPG27_RS00125	lipid A 1-phosphatase	NC_011333	complement(20347..20922)	2.1e-136	375.17	96.3	97.9	100.0	100.0	1.0
HPP12_RS00125	HPG27_RS00130	lipid A phosphoethanolamine transferase	NC_011333	complement(20932..22497)	0	1033.09	97.7	99.2	100.0	100.0	1.0
HPP12_RS00130	-	-	-	-	-	0	0	0	0	0	0
HPP12_RS00135	HPG27_RS00135	hypothetical protein	NC_011333	22680..22772	3.2e-16	59.3066	100.0	100.0	100.0	100.0	1.0
HPP12_RS00140	HPG27_RS00140	membrane protein	NC_011333	complement(23157..25289)	0	1410.2	96.2	98.3	100.0	100.0	1.0
HPP12_RS00145	HPG27_RS00145	type II citrate synthase	NC_011333	complement(25944..27224)	0	877.856	98.6	99.5	100.0	100.0	1.0
HPP12_RS00150	HPG27_RS00150	isocitrate dehydrogenase (NADP(+))	NC_011333	27425..28702	0	868.226	99.1	99.8	100.0	100.0	1.0
HPP12_RS00155	HPG27_RS00155	hypothetical protein	NC_011333	28770..29297	2.5e-125	345.895	95.4	97.1	100.0	100.0	1.0
HPP12_RS00160	HPG27_RS00160	dethiobiotin synthase	NC_011333	complement(29274..29930)	2.0e-156	427.943	95.9	97.7	100.0	100.0	1.0
HPP12_RS00165	HPG27_RS00165	hypothetical protein	NC_011333	complement(29934..31625)	0	642.884	59.3	73.4	100.0	100.0	1.0
HPP12_RS00170	HPG27_RS00170	universal stress protein	NC_011333	31734..32147	9.5e-98	273.092	98.5	99.3	100.0	100.0	1.0
HPP12_RS00175	HPG27_RS00175	ATP-dependent Clp protease adaptor ClpS	NC_011333	32178..32453	8.8e-62	178.718	94.5	95.6	100.0	100.0	1.0
HPP12_RS00180	HPG27_RS00180	ATPase AAA	NC_011333	32453..34678	0	1462.2	98.0	98.7	100.0	100.0	1.0
HPP12_RS00185	HPG27_RS00185	aspartate 1-decarboxylase	NC_011333	34668..35021	1.2e-80	228.409	97.4	99.1	100.0	99.1	1.0
HPP12_RS00190	HPG27_RS00190	nucleoid-associated protein	NC_011333	35024..35326	1.9e-64	186.037	96.0	97.0	100.0	100.0	1.0
HPP12_RS00195	HPG27_RS00195	PDZ domain-containing protein	NC_011333	35326..36321	0	632.098	92.8	96.7	100.0	100.0	1.0
HPP12_RS00200	HPG27_RS00200	conjugal transfer protein TrbL	NC_011333	36329..37384	0	624.394	95.7	96.3	100.0	100.0	1.0
HPP12_RS00205	HPG27_RS00205	hypothetical protein	NC_011333	37400..37513	5.6e-24	79.337	100.0	100.0	100.0	100.0	1.0
HPP12_RS00210	HPG27_RS00210	hypothetical protein	NC_011333	37510..38253	0	493.812	98.0	99.2	100.0	100.0	1.0
HPP12_RS00215	HPG27_RS00215	conjugal transfer protein	NC_011333	38253..39236	0	580.867	91.6	94.3	100.0	100.0	1.0
HPP12_RS00220	HPG27_RS00220	membrane protein	NC_011333	39229..40365	0	734.947	95.2	96.6	100.0	100.0	1.0
HPP12_RS00230	HPG27_RS00230	GDP-mannose 4,6-dehydratase	NC_011333	41865..43010	0	778.089	98.4	99.0	100.0	100.0	1.0
HPP12_RS00235	HPG27_RS00235	GDP-fucose synthetase	NC_011333	43003..43935	0	626.32	98.7	99.4	100.0	100.0	1.0
